#
# Rules to solve lexical ambiguity
#
# Format:
# lemmaSRC        lemmaTRGT          condition           default  ## comment
#
# condition: if the condition evaluates to true, then it returns the target lemma
#
# default value
#   if none of the conditions for lemmaSRC evaluates to true:
#     + : default value for lemmaSRC


'posiciÃ³n'	'postu'	parent.lem='_jaitsi_' || parent.lem='_igo_'	-
'final'		'bukaera'	my.smi=~'NCM'	-
'final'		'final'	my.smi=~'NCF'	+
'capital'	'kapital'	my.smi=~'NCM'	+
'capital'	'hiriburu'	my.smi=~'NCF'	-
'corte'		'gorte'	my.smi=~'NCF'	-
'corte'		'mozketa'	my.smi=~'NCM'	+
'padre'		'gurasoak'	my.smi=~'NCMP'	-
'uno'		''	parent.smi=~'Zp'	-
'cámara'	'kameralari'	my.smi=~'NCM'	-
'cámara'	'kamera'	my.smi=~'NCF'	+
'meta'		'atezain'	my.smi=~'NCM'	-
'meta'		'helmuga'	my.smi=~'NCF'	+
'radio'		'erradio'	my.smi=~'NCM'	-
'radio'		'irrati'	my.smi=~'NCF'	+
### ????'donde'		''	my.vpost='+n[ERL][MEN][MOS]++lekua' && parent.slem='estar'	-
'donde'		''	my.vpost='+n[ERL][MEN][MOS]++lekua' && parent.slem=''	-
'donde'		''	my.vpost='+n[ERL][MEN][MOS]' && parent.slem!=''	+
'adonde'		''	my.vpost='+n[ERL][MEN][MOS]++lekura' && parent.slem=''	-
'adonde'		''	my.vpost='+n[ERL][MEN][MOS]' && parent.slem!=''	+
'a_donde'		''	my.vpost='+n[ERL][MEN][MOS]++lekura' && parent.slem=''	-
'a_donde'		''	my.vpost='+n[ERL][MEN][MOS]' && parent.slem!=''	+
## 'como'		'bezala'	chunk.type='subord-sn' - ????????
